Year,Month,Value
1900,Jan,53.59
1900,Feb,25.42
1900,Mar,69.86
1900,Apr,42.4
1900,May,34.18
1900,Jun,32.39
1900,Jul,34.31
1900,Aug,15.81
1900,Sep,15.1
1900,Oct,8.24
1900,Nov,19.18
1900,Dec,25.52
1901,Jan,43.88
1901,Feb,94.28
1901,Mar,85.99
1901,Apr,23.84
1901,May,18.11
1901,Jun,24.19
1901,Jul,18.19
1901,Aug,26.55
1901,Sep,15.27
1901,Oct,17.32
1901,Nov,14.85
1901,Dec,22.45
1902,Jan,80.77
1902,Feb,51.86
1902,Mar,21.7
1902,Apr,4.88
1902,May,9.43
1902,Jun,14.9
1902,Jul,9.67
1902,Aug,10.91
1902,Sep,12.7
1902,Oct,16.17
1902,Nov,30.59
1902,Dec,55.94
1903,Jan,65.86
1903,Feb,47.16
1903,Mar,84.16
1903,Apr,50.75
1903,May,28.16
1903,Jun,21.64
1903,Jul,23.22
1903,Aug,16.01
1903,Sep,32.44
1903,Oct,20.99
1903,Nov,38.52
1903,Dec,91.37
1904,Jan,91.49
1904,Feb,73.17
1904,Mar,64.79
1904,Apr,41.99
1904,May,37.7
1904,Jun,21.16
1904,Jul,37.88
1904,Aug,11.12
1904,Sep,22.22
1904,Oct,38.43
1904,Nov,17.57
1904,Dec,48.31
1905,Jan,65.8
1905,Feb,36.16
1905,Mar,25.65
1905,Apr,40.76
1905,May,30.98
1905,Jun,21.95
1905,Jul,19.16
1905,Aug,10.52
1905,Sep,12.24
1905,Oct,18.34
1905,Nov,18.98
1905,Dec,31.98
1906,Jan,59.12
1906,Feb,79.06
1906,Mar,58.86
1906,Apr,9.23
1906,May,22.67
1906,Jun,26.21
1906,Jul,20.04
1906,Aug,31.2
1906,Sep,39.9
1906,Oct,28.04
1906,Nov,38.95
1906,Dec,77.65
1907,Jan,79.77
1907,Feb,65.67
1907,Mar,55.6
1907,Apr,14.66
1907,May,18.99
1907,Jun,41.59
1907,Jul,22.27
1907,Aug,15.81
1907,Sep,8.8
1907,Oct,14.34
1907,Nov,33.77
1907,Dec,89.32
1908,Jan,51.56
1908,Feb,90.75
1908,Mar,79.04
1908,Apr,41.48
1908,May,23.93
1908,Jun,23.95
1908,Jul,23.05
1908,Aug,19.14
1908,Sep,15.28
1908,Oct,23.01
1908,Nov,26.6
1908,Dec,40.24
1909,Jan,64.62
1909,Feb,48.34
1909,Mar,51.93
1909,Apr,35.65
1909,May,21.05
1909,Jun,44.66
1909,Jul,15.47
1909,Aug,39.01
1909,Sep,10.98
1909,Oct,23.97
1909,Nov,43.16
1909,Dec,44.18
1910,Jan,78.01
1910,Feb,73.68
1910,Mar,82.62
1910,Apr,29.1
1910,May,29.62
1910,Jun,40.65
1910,Jul,26.27
1910,Aug,12.3
1910,Sep,20.92
1910,Oct,22.2
1910,Nov,49.44
1910,Dec,70.75
1911,Jan,84.54
1911,Feb,77.73
1911,Mar,38.13
1911,Apr,36.46
1911,May,22.73
1911,Jun,15.63
1911,Jul,19.84
1911,Aug,12.62
1911,Sep,13.94
1911,Oct,15.36
1911,Nov,37.13
1911,Dec,62.82
1912,Jan,36.97
1912,Feb,69.55
1912,Mar,74.3
1912,Apr,10.2
1912,May,10.38
1912,Jun,44.12
1912,Jul,32.94
1912,Aug,11.01
1912,Sep,12.99
1912,Oct,16.73
1912,Nov,32.47
1912,Dec,33.14
1913,Jan,73.09
1913,Feb,94.66
1913,Mar,74.25
1913,Apr,24.46
1913,May,25.05
1913,Jun,24.72
1913,Jul,12.23
1913,Aug,12.72
1913,Sep,15.09
1913,Oct,17.93
1913,Nov,15.22
1913,Dec,55.5
1914,Jan,92.57
1914,Feb,41.34
1914,Mar,56.38
1914,Apr,23.76
1914,May,25.81
1914,Jun,20.57
1914,Jul,16.19
1914,Aug,6.49
1914,Sep,6.51
1914,Oct,18.12
1914,Nov,45.73
1914,Dec,71.55
1915,Jan,82.62
1915,Feb,56.28
1915,Mar,21.04
1915,Apr,14.32
1915,May,36.49
1915,Jun,29.19
1915,Jul,17.15
1915,Aug,18.04
1915,Sep,23.33
1915,Oct,14.49
1915,Nov,15.16
1915,Dec,53.73
1916,Jan,76.58
1916,Feb,59.89
1916,Mar,48.63
1916,Apr,20.78
1916,May,17.69
1916,Jun,41.34
1916,Jul,37.42
1916,Aug,20.4
1916,Sep,20.03
1916,Oct,54.58
1916,Nov,52.73
1916,Dec,80.52
1917,Jan,112.69
1917,Feb,77.66
1917,Mar,75.52
1917,Apr,17.64
1917,May,20.2
1917,Jun,26.1
1917,Jul,24.47
1917,Aug,24.53
1917,Sep,37.16
1917,Oct,26.93
1917,Nov,68.51
1917,Dec,66.6
1918,Jan,127.49
1918,Feb,101.13
1918,Mar,31.31
1918,Apr,25.95
1918,May,21.78
1918,Jun,17.1
1918,Jul,15.99
1918,Aug,23.24
1918,Sep,7.65
1918,Oct,11.24
1918,Nov,18.75
1918,Dec,29.21
1919,Jan,64.43
1919,Feb,83.51
1919,Mar,29.65
1919,Apr,27.69
1919,May,24.64
1919,Jun,12.06
1919,Jul,10.15
1919,Aug,18.37
1919,Sep,9.18
1919,Oct,11.36
1919,Nov,23.39
1919,Dec,51.59
1920,Jan,89.45
1920,Feb,39.96
1920,Mar,33.01
1920,Apr,36.64
1920,May,25.28
1920,Jun,36.56
1920,Jul,35.72
1920,Aug,29.26
1920,Sep,30.49
1920,Oct,29.3
1920,Nov,54.9
1920,Dec,73.99
1921,Jan,62.1
1921,Feb,88.59
1921,Mar,93.85
1921,Apr,23.72
1921,May,61.04
1921,Jun,43.7
1921,Jul,25.62
1921,Aug,17.69
1921,Sep,22.62
1921,Oct,23.83
1921,Nov,23.35
1921,Dec,64.32
1922,Jan,50.77
1922,Feb,81.32
1922,Mar,56.78
1922,Apr,19.96
1922,May,22.74
1922,Jun,19.32
1922,Jul,22.68
1922,Aug,10.82
1922,Sep,12.35
1922,Oct,20.66
1922,Nov,15.21
1922,Dec,83.6
1923,Jan,58.13
1923,Feb,29.8
1923,Mar,56.13
1923,Apr,34.04
1923,May,23.23
1923,Jun,56.37
1923,Jul,22.27
1923,Aug,10.35
1923,Sep,14.5
1923,Oct,16.31
1923,Nov,13.94
1923,Dec,76.26
1924,Jan,48.76
1924,Feb,83.68
1924,Mar,42.42
1924,Apr,22.83
1924,May,11.25
1924,Jun,16.97
1924,Jul,14.82
1924,Aug,21.07
1924,Sep,20.32
1924,Oct,29.63
1924,Nov,52.1
1924,Dec,45.43
1925,Jan,97.12
1925,Feb,83.02
1925,Mar,66.93
1925,Apr,19
1925,May,25.88
1925,Jun,18.64
1925,Jul,16.9
